ID,Nome:,Gênero:,Qual sua faixa etária (idade)?,É a primeira vez que você cursa a disciplina de Programação Estruturada? ,"Se a resposta anterior foi ""Não"", informe o motivo?",Você possui alguma experiência na Área de Programação?,Qual o principal motivo para você ter escolhido o curso de Bacharelado em Ciência da Computação? ,"Se você marcou na pergunta anterior ""Outro"" informe o motivo abaixo:",Qual a principal razão para você ter escolhido o IFMA Campus Caxias para cursar a graduação?,"Se você marcou na pergunta anterior ""Outro"" informe o motivo abaixo:.1",Qual seu estado civil?,Qual é a sua cor/etnia?,Onde você frequentou o Ensino Médio?,Qual modalidade de ensino médio você concluiu?,"Se na pergunta anterior você marcou ""Profissionalizante técnico"". Qual foi o curso e onde você cursou?","Quantas horas por semana, aproximadamente, você pode dedicar aos estudos (excetuando as horas de aula)?",FEEDBACK_Q1,NOTA_Q1,FEEDBACK_Q2,NOTA_Q2,FEEDBACK_Q3,NOTA_Q3,FEEDBACK_Q4,NOTA_Q4,FEEDBACK_Q5,NOTA_Q5,FEEDBACK_Q6,NOTA_Q6,FEEDBACK_Q7,NOTA_Q7,FEEDBACK_Q8,NOTA_Q8,FEEDBACK_Q9,NOTA_Q9
aluno 19,aluno 19,Masculino,Menor de 18 anos,Sim,,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Inserção no mercado de trabalho,,Qualidade/reputação,,Solteiro(a),Branca,Todo ou a maior parte em escola particular COM BOLSA,Ensino médio tradicional,,Mais de doze horas,"O auno coseguiu listar os passos de maneira lógica para a resolução da atividade, portanto o aluno possui conhecimento prévio sobre algoritmo.",S,,,"O aluno não coseguiu elaborar uma resposta para a questão, nesse caso será necessário uma revisão sobre a decomposição, base do pensamento computacional",N,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,O aluno conseguiu reconhecer o padrão disponível na questão.,S,"O aluno conseguiu reconhecer parcialmente um padrão, disponivel na questão, mas não soube explicar corretamente, sendo necessaria uma revisão sobre esta base do PC",P,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,,N,"O aluno conseguiu estabelecer parcialmente a relação entre as questões 7 e 8, sobre abstração, p uso do teorema de pitágoras.",P
aluno 20,aluno 20,Masculino,Menor de 18 anos,Não,Aluno técnico em informática do IFMA,"Sim, muita experiência mas não trabalho na área.",Vocação,,Qualidade/reputação,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,Técnico em Informática,De uma a três horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,"O aluno não conseguiu elaborar um conceito para algoritmo Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",N,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo consideou apenas o volume dos cubos, o que prejudicou na resolução da questão, será necessario uma revisão sobre esta base do PC.",P,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,"O aluno conseguiu resolver a questão usando o teorema de pitágoras, mas errou na realização do cálculo matemático, sendo necessaria uma revisão sobre esta base do PC",P,"O aluno conseguiu estabelecer parcialmente a relação entre as questões 7 e 8, sobre abstração, p uso do teorema de pitágoras.",P
aluno 21,aluno 21,Masculino,Entre 18 e 25 anos,Sim,,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Vocação,,Gratuidade,,Solteiro(a),Parda,Todo em escola pública,Ensino médio tradicional,,De quatro a sete horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,"Apesar de reconhecer que o algoritmo é usado para a resolução de problemas, o aluno precisa revisar o conceito de acordo com Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson, autores do livro ""Introduction to Algorithms"", definem algoritmo da seguinte forma: ""Um algoritmo é um conjunto finito de instruções não ambíguas, cada uma das quais pode ser executada mecanicamente em um período de tempo finito e com uma quantidade finita de esforço"".",P,"O aluno não coseguiu elaborar uma resposta para a questão, nesse caso será necessário uma revisão sobre a decomposição, base do pensamento computacional",N,"O aluno conseguiu reconhecer padrões, no entanto não conseguiu resolver corretamente, sendo necessaria uma revisão sobre esta base do PC",P,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N
aluno 22,aluno 22,Masculino,Entre 18 e 25 anos,Sim,,"Não, será o primeiro contato.",Inserção no mercado de trabalho,,Proximidade da minha residência,,Solteiro(a),Branca,Todo em escola pública,Profissionalizante técnico,Administração na Etec Ermelinda Giannini Teixeira,De uma a três horas,"O auno coseguiu listar os passos de maneira lógica para a resolução da atividade, portanto o aluno possui conhecimento prévio sobre algoritmo.",S,"O aluno conseguiu elaborar parcialmente o conceito, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo consideou apenas o volume dos cubos, o que prejudicou na resolução da questão, será necessario uma revisão sobre esta base do PC.",P,"O aluno conseguiu reconhecer o padrão na sequencia disponível na questão, mas não consegui explicar como chegou ao resultado, assim, será necessário uma revisão sobre esta base do PC",P,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,"O aluno conseguiu chegar a um resultado correto, mas não soube explicar o processo para a resolução, sendo necessaria uma revisão sobre esta base do PC",P,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,"O aluno conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, p uso do teorema de pitágoras.",S
aluno 23,aluno 23,Feminino,Entre 18 e 25 anos,Sim,,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Inserção no mercado de trabalho,,Qualidade/reputação,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,"Técnico em Informática, fiz no IFMA Campus Caxias ",De uma a três horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,"O aluno conseguiu elaborar parcialmente o conceito, como uma sequencia lógica para resolver problemas, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo consideou apenas o volume dos cubos, o que prejudicou na resolução da questão, será necessario uma revisão sobre esta base do PC.",P,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno conseguiu reconhecer o padrão disponível na questão, no entanto errou o calculo matemático, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",P,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,"O aluno conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, p uso do teorema de pitágoras.",S
aluno 24,aluno 24,Masculino,Entre 18 e 25 anos,Sim,,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Vocação,,Gratuidade,,Solteiro(a),Branca,Todo em escola pública,Ensino médio tradicional,,De uma a três horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,"O aluno conseguiu elaborar parcialmente o conceito, como uma sequencia lógica para resolver problemas, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo sobrou espaço na caixa que poderia caber mais caixas, será necessario uma revisão sobre esta base do PC.",P,,N,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,,,,,"A aluna não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N
aluno 25,aluno 25,Masculino,Entre 18 e 25 anos,Sim,,"Não, será o primeiro contato.",Inserção no mercado de trabalho,,Qualidade/reputação,,Solteiro(a),Branca,Todo em escola pública,Ensino médio tradicional,,De quatro a sete horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,"O aluno conseguiu elaborar parcialmente o conceito, como uma sequencia lógica para resolver problemas, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo consideou apenas o volume dos cubos, o que prejudicou na resolução da questão, será necessario uma revisão sobre esta base do PC.",P,"O aluno conseguiu reconhecer o padrão na sequencia disponível na questão, mas não consegui explicar como chegou ao resultado, assim, será necessário uma revisão sobre esta base do PC",P,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N
aluno 26,aluno 26,Masculino,Entre 18 e 25 anos,Sim,,"Não, será o primeiro contato.",Influência familiar,,Qualidade/reputação,,Solteiro(a),Parda,Todo em escola pública,Ensino médio tradicional,,Mais de doze horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,O aluno não coseguiu elaborar um conceito para algoritmos.,N,"O aluno não coseguiu elaborar uma resposta para a questão, nesse caso será necessário uma revisão sobre a decomposição, base do pensamento computacional",N,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,O aluno conseguiu acertar o resultado mas não explicou o padrão disponível na questão.,P,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,"A aluna não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N
aluno 27,aluno 27,Masculino,Menor de 18 anos,Sim,,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Inserção no mercado de trabalho,,Proximidade da minha residência,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,Agropecuária ,De quatro a sete horas,"O aluno coseguiu listar os passos de maneira lógica para a resolução da atividade, portanto o aluno possui conhecimento prévio sobre algoritmo.",S,"O aluno cita que o algoritmo é uma sequencia de passo a passo, no entanto, não se refere que os passos deverão serem finitos e com uma quantidade finita de esforço, conforme o conceito de Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo usou volume, será necessario uma revisão sobre esta base do PC.",P,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,"A aluna conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, p uso do teorema de pitágoras.",S
aluno 28,aluno 28,Masculino,Entre 18 e 25 anos,Sim,,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",Valorização profissional,,Qualidade/reputação,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,"Ifma campus caixas, curso de informática",De uma a três horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,"O aluno conseguiu elaborar parcialmente o conceito, como uma sequencia lógica para resolver problemas, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,"O aluno não coseguiu elaborar uma resposta para a questão, nesse caso será necessário uma revisão sobre a decomposição, base do pensamento computacional",N,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno conseguiu chegar a um resultado correto, mas não soube explicar o processo para a resolução, sendo necessaria uma revisão sobre esta base do PC",P,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,,N
aluno 29,aluno 29,Masculino,Acima de 30 anos,Não,A didática do professor não agradou,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Inserção no mercado de trabalho,,Oferta do curso pretendido,,Casado(a),Parda,Todo em escola pública,Ensino médio tradicional,,De uma a três horas,"O aluno não conseguiu elaborar a sequência da questão, será necessário a revisão sobre algoritmos.",N,"Apesar de reconhecer a importancia das linguagens de programação, o aluno precisa revisar o conceito de acordo com Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson, autores do livro ""Introduction to Algorithms"", definem algoritmo da seguinte forma: ""Um algoritmo é um conjunto finito de instruções não ambíguas, cada uma das quais pode ser executada mecanicamente em um período de tempo finito e com uma quantidade finita de esforço"".",N,"O aluno não coseguiu elaborar uma resposta para a questão, nesse caso será necessário uma revisão sobre a decomposição, base do pensamento computacional",N,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N
aluno 30,aluno 30,Masculino,Entre 18 e 25 anos,Não,Relembrar ,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Influência familiar,,Foi a única onde tive aprovação,,Solteiro(a),Parda,Todo em escola pública,Ensino médio tradicional,,De uma a três horas,,,,,,,,,,,,,,,,,,
aluno 31,aluno 31,Feminino,Entre 18 e 25 anos,Não,Fiz um curso técnico em informática e vi o básico da matéria ,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Inserção no mercado de trabalho,,Gratuidade,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,Técnico em informática no IEMA de Coroatá ,De uma a três horas,"O aluno não conseguiu elaborar a sequência da questão, será necessário a revisão sobre algoritmos.",N,"O aluno cita que o algoritmo é um conjunto de instruções, no entanto, não se refere que os passos deverão serem finitos e com uma quantidade finita de esforço, conforme o conceito de Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo sobrou espaço na caixa que poderia caber mais caixas, será necessario uma revisão sobre esta base do PC.",P,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno conseguiu reconhecer o padrão disponível na questão, no entanto errou o calculo matemático, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",P,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,"A aluna não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N
aluno 32,aluno 32,Masculino,Entre 18 e 25 anos,Não,"Decidi repetir a matéria como ouvinte pois não sinto que me desenvolvi como gostaria na primeira vez, pois estava faltando muito na faculdade e eventualmente tranquei o curso depois.","Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Inserção no mercado de trabalho,,Oferta do curso pretendido,,Solteiro(a),Branca,Todo em escola particular,Ensino médio tradicional,,De quatro a sete horas,"O auno coseguiu listar os passos de maneira lógica para a resolução da atividade, portanto o aluno possui conhecimento prévio sobre algoritmo.",S,"O aluno cita que o algoritmo é uma sequencia de passo a passo, no entanto, não se refere que os passos deverão serem finitos e com uma quantidade finita de esforço, conforme o conceito de Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo sobrou espaço na caixa que poderia caber mais caixas, será necessario uma revisão sobre esta base do PC.",P,"O aluno conseguiu reconhecer o padrão na sequencia disponível na questão, no entanto a resposta não está correta, assim, será necessário uma revisão sobre esta base do PC",P,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,"O aluno conseguiu reconhecer parcialmente um padrão, disponivel na questão, mas não soube executar corretamente, sendo necessaria uma revisão sobre esta base do PC",P,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N
aluno 33,aluno 33,Masculino,Entre 18 e 25 anos,Sim,,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Vocação,,Oferta do curso pretendido,,Solteiro(a),Parda,Todo em escola pública,Ensino médio tradicional,,De quatro a sete horas,"O auno coseguiu listar os passos de maneira lógica para a resolução da atividade, portanto o aluno possui conhecimento prévio sobre algoritmo.",S,"O aluno conseguiu elaborar parcialmente o conceito, como uma sequencia lógica para resolver problemas, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo sobrou espaço na caixa que poderia caber mais caixas, será necessario uma revisão sobre esta base do PC.",P,"O aluno não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno conseguiu reconhecer o padrão disponível na questão, talvez por ter sido um padrão mais simples do que da questão anterior, mesmo assim, será necessário uma revisão sobre esta base do PC",S,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno conseguiu chegar a um resultado correto, mas não soube explicar o processo para a resolução, sendo necessaria uma revisão sobre esta base do PC",P,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,,N
aluno 34,aluno 34,Masculino,Entre 18 e 25 anos,Sim,,"Não, será o primeiro contato.",Inserção no mercado de trabalho,,Proximidade da minha residência,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,Agroindústria,De uma a três horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,,N,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo sobrou espaço na caixa que poderia caber mais caixas, será necessario uma revisão sobre esta base do PC.",P,,N,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N
aluno 35,aluno 35,Masculino,Entre 18 e 25 anos,Sim,,"Não, será o primeiro contato.",Outro,Apenas via algumas pessoas fazendo projetos e me interessei na área de programação.,Gratuidade,,Solteiro(a),Parda,Todo em escola pública,Ensino médio tradicional,,De uma a três horas,"O auno coseguiu listar os passos de maneira lógica para a resolução da atividade, portanto o aluno possui conhecimento prévio sobre algoritmo.",S,O aluno não coseguiu elaborar um conceito para algoritmos.,N,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo sobrou espaço na caixa que poderia caber mais caixas, será necessario uma revisão sobre esta base do PC.",P,"O aluno conseguiu reconhecer o padrão na sequencia disponível na questão, mas não consegui explicar como chegou ao resultado, assim, será necessário uma revisão sobre esta base do PC",P,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu reconhecer o padrão disponivel na questão, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"O aluno não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,"A aluna não conseguiu estabelecer uma relação entre as questões 7 e 8, sobre abstração, sendo necessaria uma revisão para esta base do PC.",N
aluno 36,aluno 36,Masculino,Acima de 30 anos,Sim,,"Sim, muita experiência mas não trabalho na área.",Vocação,,Gratuidade,,União estável,Parda,Todo em escola pública,Ensino médio tradicional,,De quatro a sete horas,,,,,,,,,,,,,,,,,,
aluno 37,aluno 37,Feminino,Menor de 18 anos,Sim,,"Sim, já fiz cursos, consigo realizar pequenos projetos, mas nada muito avançado.",Inserção no mercado de trabalho,,Gratuidade,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,Informática ,De uma a três horas,,,,,,,,,,,,,,,,,,
aluno 38,aluno 38,Feminino,Entre 18 e 25 anos,Não,,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Vocação,,Oferta do curso pretendido,,Solteiro(a),Negra,Todo em escola pública,Ensino médio tradicional,,De quatro a sete horas,,,,,,,,,,,,,,,,,,
aluno 39,aluno 39,Masculino,Entre 18 e 25 anos,Sim,,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Inserção no mercado de trabalho,,Oferta do curso pretendido,,Solteiro(a),Parda,Todo em escola pública,Profissionalizante técnico,Agroindústria ,De uma a três horas,,,,,,,,,,,,,,,,,,
aluno 40,aluno 40,Masculino,Entre 18 e 25 anos,Sim,,"Sim, já tive contato, mas não consigo programar sozinho sem ajuda.",Inserção no mercado de trabalho,,Proximidade da minha residência,,Solteiro(a),Parda,Todo em escola particular,Ensino médio tradicional,,De quatro a sete horas,"O aluno conseguiu elaborar parcialmente a sequência da questão, no entanto, a lógica usada não é a correta, já que esqueceu de desligar o disjuntor, será necessário a revisão sobre algoritmos.",P,"O aluno conseguiu elaborar parcialmente o conceito, como uma sequencia lógica para resolver problemas, no entanto, não conseguiu elaborar um conceito para algoritmo conforme Clifford Stein, Ronald Rivest, Thomas Cormen e Charles Leiserson. Portanto, o aluno precisa melhorar a sua elaboração sobre o conceito de Algoritmo, assim, possui um conhecimento parcial sobre esse conceito.",P,"O aluno conseguiu reconhecer a decomposição presente na questão, no entanto, no seu calculo consideou apenas o volume dos cubos, o que prejudicou na resolução da questão, será necessario uma revisão sobre esta base do PC.",P,"O aluno conseguiu reconhecer o padrão na sequencia disponível na questão, mas não consegui explicar como chegou ao resultado, assim, será necessário uma revisão sobre esta base do PC",P,O aluno conseguiu reconhecer o padrão disponível na questão.,S,O aluno conseguiu reconhecer o padrão disponivel na questão.,S,"A aluna não conseguiu resolver a questão sobre abstração, sendo necessaria uma revisão sobre esta base do PC",N,O aluno conseguiu resolver a questão por teorema de pitagoras e e reconheceu a abstração presente na questão.,S,"O aluno conseguiu estabelecer parcialmente a relação entre as questões 7 e 8, sobre abstração, p uso do teorema de pitágoras.",P
aluno 41,aluno 41,Masculino,Entre 18 e 25 anos,Sim,,"Não, será o primeiro contato.",Inserção no mercado de trabalho,,Qualidade/reputação,,Solteiro(a),Branca,Todo em escola particular,Ensino médio tradicional,,De quatro a sete horas,,,,,,,,,,,,,,,,,,
